location,total_sqrft,bathroom,bhk,price
Lalbaug,812,2,2,32500000.0
Lalbaug,1108,2,3,30000000.0
Parel,1545,3,3,58500000.0
Parel,400,1,1,7500000.0
Parel,382,1,1,7000000.0
Parel,400,1,1,12000000.0
Parel,590,2,1,19900000.0
Lalbaug,600,2,1,24000000.0
Parel,700,1,1,20000000.0
Parel,325,1,1,11000000.0
Lalbaug,425,1,1,11900000.0
Parel,500,1,1,20000000.0
Lalbaug,895,2,2,29000000.0
Lalbaug,1025,2,2,40000000.0
Parel,1125,2,2,52500000.0
Lalbaug,425,1,1,11900000.0
Lalbaug,1108,2,3,30000000.0
Parel,400,1,1,12000000.0
Lalbaug,1025,2,2,40000000.0
Parel,1125,2,2,52500000.0
Parel,382,1,1,7000000.0
Lalbaug,600,2,1,24000000.0
Parel,400,1,1,7500000.0
Parel,1545,3,3,58500000.0
Lalbaug,812,2,2,32500000.0
Parel,590,2,1,19900000.0
Parel,325,1,1,11000000.0
Lalbaug,895,2,2,29000000.0
Parel,650,2,1,15100000.0
Lalbaug,400,1,1,12000000.0
Lalbaug,1295,3,3,61500000.0
Parel,439,1,1,13000000.0
Parel,550,1,1,17000000.0
Parel,1305,2,2,52500000.0
Parel,500,1,1,20000000.0
Parel,700,1,1,20000000.0
Parel,381,2,1,12000000.0
Parel,360,1,1,8500000.0
Parel,375,1,1,14000000.0
Dadar,2714,4,4,101600000.0
Dadar,1701,3,3,60000000.0
Dadar,1200,2,3,35000000.0
Dadar,1580,3,3,70700000.0
Dadar,2200,3,3,87500000.0
Dadar,1225,3,3,58000000.0
Matunga,1630,3,3,56400000.0
Dadar,687,1,1,20000000.0
Dadar,535,1,1,21000000.0
Dadar,529,1,1,20500000.0
Dadar,620,1,1,22500000.0
Mahim,900,2,2,34000000.0
Dadar,1218,2,2,29500000.0
Parel,750,2,2,15500000.0
Dadar,990,2,2,28200000.0
Dadar,1200,2,2,49500000.0
Dadar,763,1,2,29000000.0
Dadar,784,2,2,29600000.0
Matunga,1089,2,2,36500000.0
Dadar,1750,3,4,46000000.0
Dadar,1500,4,4,60000000.0
Dadar,2850,4,3,87800000.0
Dadar,1156,2,3,45000000.0
Dadar,1500,3,3,61000000.0
Dadar,1150,3,3,55000000.0
Matunga,3454,4,4,137500000.0
Matunga,1300,3,3,34100000.0
Matunga,2137,3,3,99900000.0
Matunga,2304,3,3,92000000.0
Matunga,572,2,2,16200000.000000002
Matunga,1900,3,4,90000000.0
Matunga,700,3,3,20000000.0
Matunga,1100,2,3,20000000.0
Matunga,735,2,3,23000000.0
Matunga,1400,3,3,90000000.0
Matunga,1496,3,3,60000000.0
Matunga,1350,3,3,45000000.0
Matunga,1700,3,3,57500000.0
Matunga,1160,2,2,35500000.0
Matunga,618,2,2,27500000.0
Matunga,450,2,1,28000000.0
Matunga,1000,2,2,30000000.0
Dadar,825,2,2,31000000.0
Matunga,375,1,1,12500000.0
Matunga,650,2,2,17500000.0
Matunga,900,2,2,32000000.0
Matunga,1080,2,2,31100000.0
Matunga,581,2,2,22500000.0
Matunga,712,2,2,23000000.0
Matunga,750,2,2,29000000.0
Matunga,500,2,1,13000000.0
Matunga,1100,2,3,20000000.0
Matunga,1496,3,3,60000000.0
Matunga,712,2,2,23000000.0
